,upward,leftward,rightward,avoid,push
0,-0.04609999999999846,-0.04609999999999846,-0.04609999999999846,-0.04609999999999846,-0.04609999999999846
1,-0.04609999999999826,-0.04609999999999826,-0.04609999999999826,-0.04609999999999826,-0.04609999999999826
2,-0.04749999999999824,-0.04749999999999824,-0.04749999999999824,-0.04749999999999824,-0.04749999999999824
3,-0.0474999999999982,-0.0474999999999982,-0.0474999999999982,-0.0474999999999982,-0.0474999999999982
4,-0.046099999999998344,-0.046099999999998344,-0.046099999999998344,-0.046099999999998344,-0.046099999999998344
5,-0.3890871654083431,-0.3890871654083431,-0.3890871654083431,-0.3890871654083431,-0.3890871654083431
6,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817
7,-0.04749999999999823,-0.04749999999999823,-0.04749999999999823,-0.04749999999999823,-0.04749999999999823
8,-0.0474999999999982,-0.0474999999999982,-0.0474999999999982,-0.0474999999999982,-0.0474999999999982
9,-0.04609999999999837,-0.04609999999999837,-0.04609999999999837,-0.04609999999999837,-0.04609999999999837
10,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818
11,-0.047499999999998134,-0.047499999999998134,-0.047499999999998134,-0.047499999999998134,-0.047499999999998134
12,-0.3865961800818045,-0.3865961800818045,-0.3865961800818045,-0.3865961800818045,-0.3865961800818045
13,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818
14,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818
15,-0.04749999999999816,-0.04749999999999816,-0.04749999999999816,-0.04749999999999816,-0.04749999999999816
16,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831
17,-0.04679999999999836,-0.04679999999999836,-0.04679999999999836,-0.04679999999999836,-0.04679999999999836
18,-0.046099999999998385,-0.046099999999998385,-0.046099999999998385,-0.046099999999998385,-0.046099999999998385
19,-0.04679999999999827,-0.04679999999999827,-0.04679999999999827,-0.04679999999999827,-0.04679999999999827
20,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819
21,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818,-0.04749999999999818
22,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819
23,-0.04539999999999844,-0.04539999999999844,-0.04539999999999844,-0.04539999999999844,-0.04539999999999844
24,-0.046799999999998294,-0.046799999999998294,-0.046799999999998294,-0.046799999999998294,-0.046799999999998294
25,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817
26,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819,-0.04749999999999819
27,-0.046799999999998315,-0.046799999999998315,-0.046799999999998315,-0.046799999999998315,-0.046799999999998315
28,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831
29,-0.04749999999999814,-0.04749999999999814,-0.04749999999999814,-0.04749999999999814,-0.04749999999999814
30,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831,-0.04679999999999831
31,-0.04679999999999826,-0.04679999999999826,-0.04679999999999826,-0.04679999999999826,-0.04679999999999826
32,-0.39028256374913683,-0.39028256374913683,-0.39028256374913683,-0.39028256374913683,-0.39028256374913683
33,-0.3959943780744596,-0.3959943780744596,-0.3959943780744596,-0.3959943780744596,-0.3959943780744596
34,-0.046799999999998315,-0.046799999999998315,-0.046799999999998315,-0.046799999999998315,-0.046799999999998315
35,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817,-0.04749999999999817
36,-0.04539999999999842,-0.04539999999999842,-0.04539999999999842,-0.04539999999999842,-0.04539999999999842
37,-0.04609999999999836,-0.04609999999999836,-0.04609999999999836,-0.04609999999999836,-0.04609999999999836
38,-0.047499999999998245,-0.047499999999998245,-0.047499999999998245,-0.047499999999998245,-0.047499999999998245
39,-0.046099999999998344,-0.046099999999998344,-0.046099999999998344,-0.046099999999998344,-0.046099999999998344
