,upward,leftward,rightward,avoid,push
0,-7.468367346938756,-7.468367346938756,-7.468367346938756,-7.468367346938756,-7.468367346938756
1,-7.441624365482214,-7.441624365482214,-7.441624365482214,-7.441624365482214,-7.441624365482214
2,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959
3,-7.5335051546391565,-7.5335051546391565,-7.5335051546391565,-7.5335051546391565,-7.5335051546391565
4,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959
5,-7.481841432225044,-7.481841432225044,-7.481841432225044,-7.481841432225044,-7.481841432225044
6,-7.446954314720792,-7.446954314720792,-7.446954314720792,-7.446954314720792,-7.446954314720792
7,-7.479081632653041,-7.479081632653041,-7.479081632653041,-7.479081632653041,-7.479081632653041
8,-7.503324808184124,-7.503324808184124,-7.503324808184124,-7.503324808184124,-7.503324808184124
9,-7.487212276214815,-7.487212276214815,-7.487212276214815,-7.487212276214815,-7.487212276214815
10,-7.519794344472989,-7.519794344472989,-7.519794344472989,-7.519794344472989,-7.519794344472989
11,-1.0558425584255702,-1.0558425584255702,-1.0558425584255702,-1.0558425584255702,-1.0558425584255702
12,-7.5251928020565355,-7.5251928020565355,-7.5251928020565355,-7.5251928020565355,-7.5251928020565355
13,-6.9621428571428385,-6.9621428571428385,-6.9621428571428385,-6.9621428571428385,-6.9621428571428385
14,-1.0396614268440272,-1.0396614268440272,-1.0396614268440272,-1.0396614268440272,-1.0396614268440272
15,-1.0537331701346249,-1.0537331701346249,-1.0537331701346249,-1.0537331701346249,-1.0537331701346249
16,1.0090606816293044,1.0090606816293044,1.0090606816293044,1.0090606816293044,1.0090606816293044
17,1.984373107207807,1.984373107207807,1.984373107207807,1.984373107207807,1.984373107207807
18,1.95819377990436,1.95819377990436,1.95819377990436,1.95819377990436,1.95819377990436
19,0.9734463276836092,0.9734463276836092,0.9734463276836092,0.9734463276836092,0.9734463276836092
20,1.997076735688239,1.997076735688239,1.997076735688239,1.997076735688239,1.997076735688239
21,0.9960752248569221,0.9960752248569221,0.9960752248569221,0.9960752248569221,0.9960752248569221
22,1.9958003651856895,1.9958003651856895,1.9958003651856895,1.9958003651856895,1.9958003651856895
23,2.020320197044388,2.020320197044388,2.020320197044388,2.020320197044388,2.020320197044388
24,2.0242442936459506,2.0242442936459506,2.0242442936459506,2.0242442936459506,2.0242442936459506
25,-1.0237187127532643,-1.0237187127532643,-1.0237187127532643,-1.0237187127532643,-1.0237187127532643
26,-1.0539682539682393,-1.0539682539682393,-1.0539682539682393,-1.0539682539682393,-1.0539682539682393
27,-7.349624060150356,-7.349624060150356,-7.349624060150356,-7.349624060150356,-7.349624060150356
28,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959
29,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959,-7.4737244897959
30,-7.446954314720793,-7.446954314720793,-7.446954314720793,-7.446954314720793,-7.446954314720793
31,-7.484438775510185,-7.484438775510185,-7.484438775510185,-7.484438775510185,-7.484438775510185
32,-7.473724489795898,-7.473724489795898,-7.473724489795898,-7.473724489795898,-7.473724489795898
33,-7.468367346938756,-7.468367346938756,-7.468367346938756,-7.468367346938756,-7.468367346938756
34,-7.481841432225044,-7.481841432225044,-7.481841432225044,-7.481841432225044,-7.481841432225044
35,-7.468367346938757,-7.468367346938757,-7.468367346938757,-7.468367346938757,-7.468367346938757
36,-7.506153846153826,-7.506153846153826,-7.506153846153826,-7.506153846153826,-7.506153846153826
37,-7.511538461538443,-7.511538461538443,-7.511538461538443,-7.511538461538443,-7.511538461538443
38,-7.506153846153827,-7.506153846153827,-7.506153846153827,-7.506153846153827,-7.506153846153827
39,-7.538917525773176,-7.538917525773176,-7.538917525773176,-7.538917525773176,-7.538917525773176
