,upward,leftward,rightward,avoid,push
0,-5.066549912434307,-5.066549912434307,-5.066549912434307,-5.066549912434307,-5.066549912434307
1,-4.894923857868002,-4.894923857868002,-4.894923857868002,-4.894923857868002,-4.894923857868002
2,-5.071578947368401,-5.071578947368401,-5.071578947368401,-5.071578947368401,-5.071578947368401
3,-5.14234875444838,-5.14234875444838,-5.14234875444838,-5.14234875444838,-5.14234875444838
4,-4.8662184873949395,-4.8662184873949395,-4.8662184873949395,-4.8662184873949395,-4.8662184873949395
5,-4.787438016528905,-4.787438016528905,-4.787438016528905,-4.787438016528905,-4.787438016528905
6,-5.006401384083026,-5.006401384083026,-5.006401384083026,-5.006401384083026,-5.006401384083026
7,-5.028347826086936,-5.028347826086936,-5.028347826086936,-5.028347826086936,-5.028347826086936
8,-4.98106712564542,-4.98106712564542,-4.98106712564542,-4.98106712564542,-4.98106712564542
9,-5.146085409252651,-5.146085409252651,-5.146085409252651,-5.146085409252651,-5.146085409252651
10,-5.169409660107315,-5.169409660107315,-5.169409660107315,-5.169409660107315,-5.169409660107315
11,-4.906610169491505,-4.906610169491505,-4.906610169491505,-4.906610169491505,-4.906610169491505
12,-4.9476923076922885,-4.9476923076922885,-4.9476923076922885,-4.9476923076922885,-4.9476923076922885
13,-4.973838209982769,-4.973838209982769,-4.973838209982769,-4.973838209982769,-4.973838209982769
14,-4.894923857868,-4.894923857868,-4.894923857868,-4.894923857868,-4.894923857868
15,-5.222743682310451,-5.222743682310451,-5.222743682310451,-5.222743682310451,-5.222743682310451
16,-5.124468085106363,-5.124468085106363,-5.124468085106363,-5.124468085106363,-5.124468085106363
17,-5.02343749999998,-5.02343749999998,-5.02343749999998,-5.02343749999998,-5.02343749999998
18,-4.955993150684911,-4.955993150684911,-4.955993150684911,-4.955993150684911,-4.955993150684911
19,-5.031999999999979,-5.031999999999979,-5.031999999999979,-5.031999999999979,-5.031999999999979
20,-5.014904679376063,-5.014904679376063,-5.014904679376063,-5.014904679376063,-5.014904679376063
21,-5.011265164644693,-5.011265164644693,-5.011265164644693,-5.011265164644693,-5.011265164644693
22,-4.927597955706963,-4.927597955706963,-4.927597955706963,-4.927597955706963,-4.927597955706963
23,-4.678029079159915,-4.678029079159915,-4.678029079159915,-4.678029079159915,-4.678029079159915
24,-4.87070707070705,-4.87070707070705,-4.87070707070705,-4.87070707070705,-4.87070707070705
25,-4.927597955706966,-4.927597955706966,-4.927597955706966,-4.927597955706966,-4.927597955706966
26,-4.939419795221824,-4.939419795221824,-4.939419795221824,-4.939419795221824,-4.939419795221824
27,-4.854697986577161,-4.854697986577161,-4.854697986577161,-4.854697986577161,-4.854697986577161
28,-4.870707070707051,-4.870707070707051,-4.870707070707051,-4.870707070707051,-4.870707070707051
29,-5.062872154115566,-5.062872154115566,-5.062872154115566,-5.062872154115566,-5.062872154115566
30,-4.957118353344749,-4.957118353344749,-4.957118353344749,-4.957118353344749,-4.957118353344749
31,-4.985862068965499,-4.985862068965499,-4.985862068965499,-4.985862068965499,-4.985862068965499
32,-5.049214659685845,-5.049214659685845,-5.049214659685845,-5.049214659685845,-5.049214659685845
33,-4.981067125645418,-4.981067125645418,-4.981067125645418,-4.981067125645418,-4.981067125645418
34,-4.902030456852774,-4.902030456852774,-4.902030456852774,-4.902030456852774,-4.902030456852774
35,-5.045549738219877,-5.045549738219877,-5.045549738219877,-5.045549738219877,-5.045549738219877
36,-5.138612099644109,-5.138612099644109,-5.138612099644109,-5.138612099644109,-5.138612099644109
37,-5.002768166089946,-5.002768166089946,-5.002768166089946,-5.002768166089946,-5.002768166089946
38,-4.835284280936434,-4.835284280936434,-4.835284280936434,-4.835284280936434,-4.835284280936434
39,-4.947692307692289,-4.947692307692289,-4.947692307692289,-4.947692307692289,-4.947692307692289
